ID,POS,Gloss,Gloss_persian,Checked
17839,noun,outer bark of the cork oak; used for stoppers for bottles etc.,پوست بیرونی بلوط چوب پنبه ؛ برای درب های بطری و غیره استفاده می شود ,0
17848,noun,a female bartender,یک متصدی بار ,0
17938,noun,a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons),یک کاسک بزرگ (مخصوصاً یكی كه حجمی معادل 2 سر گراز یا 126 گالن دارد) ,0
18838,verb,"emit light; be bright, as of the sun or a light; ""The sun shone bright that day""; ""The fire beamed on their faces""","تابش نور نور خورشید یا نور باشد. ""آن روز خورشید درخشید""؛ ""آتش به صورت آنها تابیده می شود"" ",0
18839,verb,guide with a beacon,راهنما با چراغ راهنما ,0
18840,verb,"take somebody somewhere; ""We lead him to our chief""; ""can you take me to the main entrance?""; ""He conducted us to the palace""","کسی را به جایی ببر ""ما او را به سمت رئیس خود سوق می دهیم""؛ ""آیا می توانید من را به ورودی اصلی ببرید؟""؛ ""او ما را به قصر هدایت کرد"" ",0
18841,noun,a fire (usually on a hill or tower) that can be seen from a distance,آتش سوزی (معمولاً روی تپه یا برج) که از دور دیده می شود ,0
18842,noun,a signal that involves visual communication,سیگنالی که شامل ارتباط تصویری است ,0
18843,noun,a fire set as a signal,آتش به عنوان سیگنال تنظیم شده است ,0
18844,noun,a radio station that broadcasts a directional signal for navigational purposes,یک ایستگاه رادیویی که یک سیگنال جهت دار را برای اهداف ناوبری پخش می کند ,0
18845,noun,station for the production and transmission of radio broadcasts,ایستگاه تولید و انتقال پخش رادیویی ,0
18846,noun,a tower with a light that gives warning of shoals to passing ships,برجی با نوری که به کشتی های عبوری اخطار می دهد ,0
18847,noun,a great lighthouse (500 feet high) built at Alexandria in 285 BC,یک فانوس دریایی عالی (500 فوت ارتفاع) در اسکندریه در سال 285 قبل از میلاد ساخته شده است ,0
17939,noun,a large cask especially one holding 63 gals,یک کاسک بزرگ مخصوصاً یكی كه 63 گالن در آن نگهداری می شود ,0
18848,verb,"form into beads, as of water or sweat, for example",به عنوان مثال به صورت مهره ، مانند آب یا عرق در بیایید ,0
18849,verb,"assume a form or shape; ""the water formed little beads""","یک فرم یا شکل را در نظر بگیرید ""آب دانه های کوچکی تشکیل داد"" ",0
18850,verb,string together like beads,رشته ای مانند مهره ها ,0
